"KANNADA","Read In KANNADA","ENGLISH","Unnamed"
"ಹೆತ್ತವರು","hettavaru","parents",""
"ದಿನ","dina","day",""
"ಕೇಳಿ","keli","listen",""
"ಸುಂದರ","sundara","beautiful",""
"ದುಃಖ","dukha","sad",""
"ಧೈರ್ಯ","dhyrya","Brave",""
"ಸ್ವಾಗತ","swaagata","welcome",""
"ಸರಿ","sari","ok",""
"ಹೌದು","hwdu","yes",""
"ಅತಿಥಿ","atithi","guest",""
"ಹೂಗಳು","hoogalu","flowers",""
"ಆಹಾರ","ahaara","food",""
"ಮಕ್ಕಳು","makkalu","children",""
"ರಸ್ತೆ","rasthe","road",""
"ಬಟ್ಟೆ","batte","cloth",""
"ಮನೆ","mane","home/house",""
"ಸರ್ವಜನಿಕ","saarvajanika","public",""
"ಸ್ನಾನ","snaana","bath",""
"ಬೆಳಿಗ್ಗೆ","beligge","morning",""
"ವಿಶ್ರಾಂತಿ","vishranthi","relax",""
"ಕಾಡು","kaadu","forest",""
"ಸಂಜೆ","sanje","evening",""
"ವಿಳಾಸ","vilaasa","address",""
"ಕುರ್ಚಿ","kurchi","chair",""
"ಚಿಕ್ಕ","chikka","small",""
"ಅಂಗಡಿ","angadi","shop",""
"ಅಂಗಡಿ ಮಾಲಿಕ","angadi maalika","shopkeeper",""
"ಕೊಳೆ","kole","dirt",""
"ಕ್ರೀಡಾಪಟು","kreedaapatu","sports man",""
"ತಲೆನೋವು","talenovu","headache",""
"ತಂಪು","tampu","cold",""
"ಬಿಸಿ","bisi","hot",""
"ಮಳೆ","male","rain",""
"ಶಬ್ದ","shabdha","voice",""
"ದುರ್ಬಲ","dhurbhala","weak",""
"ತಿಂಗಳು","tingalu","month",""
"ವರ್ಷ","varsha","year",""
"ಉತ್ತಮ","uttama","best",""
"ಸೊಳ್ಳೆ","solle","mosquito",""
"ಜ್ವರ","jwara","fever",""
"ಗಾಳಿ","gaali","air/wind",""
"ಪ್ರಾಣಿ","praani","animal",""
"ದೊಡ್ಡ","dhodda","big",""
